Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Valérie Lehmann,,,,,,,,15:59.09,,16:41.26,,16:51.80,,,
Elena Roos,,,,,,,,,,,,,,,17:07.98
Loanne Duvoisin,,,,,,,,,,,,,,,18:13.78
Sarah Collins,,,,,,,16:41.29,,,,,,,,
Léanie Schweickhardt,18:31.75,,18:15.95,17:49.57,17:37.94,17:23.83,17:12.39,,,17:17.00,,,,,
Alina Sönning,,,,,,,,,,,,,,,17:15.97
Stephanie Haefeli,,,,,,18:24.80m,18:21.41,18:29.19,18:29.02,19:45.43,,,,,
Vanessa Ouar,,,,,,,,,,16:59.14,,,,,
Tiffany Langel,17:32.23,,,,,,,,,,,,,,
Olivia Bissegger,,,20:00.73,22:59.79,20:05.00,19:09.96,19:17.71,18:50.37,19:08.44,,,,,,
Nora Gmür,,,,,,,,,,,,,,,17:10.80
Sibylle Häring,,,,,,,,,,,,18:08.59,,,16:48.82
Ludivine Dufour,17:59.27,,,18:44.19,,,,,,,,,,,
Lena Haas,,,,,,,,,,,,18:24.01,18:06.63,,
Sandrine Clément,,18:31.46,18:11.08,18:10.83,18:13.90,,,,,,,,,,
Nicole Klingler,,,,,,18:42.55,,,,18:54.58,,,,,
Christina Carruzzo,,17:18.95,,,,,,,,,,,,,
Myriam Keiser,,,,,,,,,,,18:56.10,18:22.37,17:51.20,,18:01.08
Carole Koster,,,,,,19:42.68,,,,,,,,,
Christel Köstinger,,,,21:34.38,21:58.85,,,,,,,,,,
Mekdes Woldu,,,,,,,16:36.96,,,,,,,,
Maja Glesti,,,18:58.05,,,,,,,,,,,,
Elean Briggen-Schaffner,,,,,,19:04.65,19:12.84,,,,,,,,
Stefanie Zlauwinen,,,,,,,,22:11.12,,,,,,,
Micheline Rhême Bord,,22:33.44,,,,,,,,,,,,,
Amélie Bertschy,,,,,,,,,19:33.44,,,,,,
Melanie Schneider,,,,,,,,,,,,,,,19:05.33
Irina Freiburghaus,,,,,,18:09.66,17:18.53,,,,,,,,
Melanie Schöb,20:47.66,,,,,,,,,,,,,,
Michèle Gantner,,,,,,,,,18:27.86,17:43.18,17:51.95,17:11.18,17:03.81,,16:38.93
Laura Colliard,,20:44.83,,,,,,,,,,,,,
Rahel Blättler,,,,,,,,,,,,,18:02.62,,
Myriam Chiquet,,22:51.06,,,,,,,,,,,,,
Jeannine Boschung,,,,,20:50.18,,,,,,,,,,
Mirja Jenni-Moser,15:59.18,16:12.40,16:36.38,,16:41.00,,16:11.22,16:08.58,17:05.98,,,,,,
Rosalba Rossi,,,,,18:27.74,18:20.04,,18:20.62,18:19.91,,,,,,
Patrizia Pagnoncelli,,,,,,,,20:30.53,,,,,,,
Mélanie Naulot,,,,,,,,19:06.69,,,,,,,
Rawa Kaya Iseli,,,,,,,,,,,,,,,18:29.30
Isabelle Piller,,,,,18:37.30,18:30.75,,18:51.31,,,,,,,
Rea Iseli,,,,,,,18:26.51,,,,,17:46.76,17:44.09,,
Sarah Schütz,,,17:32.85,17:08.43,,,,,,,,,,,
Iris Lauper,,,,,,,,,,,,,18:56.77,,
Delphine Marmy,,,,,,,,,,,19:29.82,19:18.83,,,
Rachel Poffet,20:45.79,21:12.80,21:09.68,,21:14.13,,,20:44.58,19:40.20,20:30.96,,,,,
Aude Salord,,,,,,,,,,17:44.96,17:10.12,16:30.48,16:56.94,,
Marion Monney,,,,,,,,,,,,,,,18:41.29
France Repond,,,21:12.43,21:34.64,,,,,,,,,,,
Joëlle Flück,,,,,,,,,,16:41.25,,,,,17:09.25
Lisa de Bruyn,,,,,,,,,,,,,,,17:39.16m
Léa Evéquoz,,,,,,,,,,,,,,,19:20.70
Eryn Oberli,,,,,,,,,,,,27:12.87,,,
Rosmarie Zaugg,,,21:17.45mM,,,,,,,,,,,,
Salome Marmet,,,,,,,,,18:59.78,18:25.37,,,,,
Evelyne Jeitziner,16:49.19,17:21.08,,,,,,,,,,,,,
Emma Schaertlin Coffey,,,,,,,,,,,,,19:37.43,,
Marie Therese Frey,,18:38.60,19:41.59,19:25.10,18:50.16,18:44.04,18:09.87,,,,,,,,
Fabienne Zahno,,,,21:59.12,,,,,,,,,,,
Caroline Ramsauer,,,,,19:38.57,19:17.44,,,,,,,,,
Manuela Fahrni,,,,,,,,,,,,19:24.11,,,
Lucia Lehmann,19:45.80mit M,,21:33.62,,,,,,,,,,,,
Natacha Mooser,,,,19:42.67,,,,,,,,,,,
Mireille Salathé,18:59.91,,,,,,,,,,,,,,
Sulamith Schilling,,,,,,18:19.52,18:22.62,,18:17.26,18:10.97,,,,,
Anita Weyermann Salzmann,,16:37.67,,,,,,,,,,,,,
Seraina Studler,,,,,,,,20:50.29,,,,,,,
Papp Krisztina,,,,,,,,,,,,16:29.41,,,
Nathalie Schertenleib,,,18:00.04,,,,17:14.84,16:44.66,,,,,,,
Virginie Danalet,,,,20:40.37,,,,,,,,,,,
Laeticia Froidevaux,,,,21:00.68,,,,,,,,,,,
Chantal Pape Juillard,,,,,19:21.46,,,,,,,,,,
Leana Bissig,,,,,,,,,,,,18:54.99,18:07.01,,
Jennifer Moresi,,,,19:13.60,17:53.64,,,,,,,,,,
Laure-Christine Emery,,,20:57.55,,20:48.15,,,,,,,,,,
Chantal Schöni,,,,,,,,,19:36.53,,,,,,
Florence Epiney,,,,,,,,,,20:51.92,,,,,
Laura Balmer,,,,,,,,,,22:23.22,26:20.32,,,,
Marianne Kämpf,,,,,,,,,,19:37.10,,,,,
Agnès McTighe,,,,,,,,,,,,,,,16:21.64
Samira Schnüriger,,,,,,,,18:43.76,,18:53.60,,,17:55.85,,17:31.41
Sonja Borner,,,,,,,,,,19:08.87,,,,,
Joëlle-Anja Boschung,,,,,,,,,19:54.15,,,,,,
Sara Lüscher,,,18:42.90,,18:32.66,,17:59.07,,,,,,,,
Maya Hofer,,,,18:27.18,18:33.10,,,,,,,,,,
Stefania Barloggio-Lupatini,,,,,19:17.91,19:01.98,18:40.94,19:07.00,,,,,,,
Jessica Fragnière,,,22:22.36,22:31.26,,,,,,,,,,,
Tamara Kamm,,,,,,,18:25.90,18:32.72,19:52.92,,,18:50.60,,,18:11.27
Isabelle Anderhalden,,,,,,19:18.75,,,,,,,,,
Vivianne Bongard,,19:08.33,,,,,,,,,,,,,
