Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Felix Studer,,,,,,,,,,,,,14:52.63,15:01.23,
Thomas Curiger,,,,,,,,,,,,,14:46.12,14:54.23,
Patrick Minder,,25:49.28,,,,,,,,,,,,,
Christian Ott,15:45.80,,,,,,,,,,,,,,
Sven Engelmann,,,,,,,20:42.82,,,,,,,,
Amable Alvarez,,,,,,,,,,,,,,17:56.60,
Tesfamariam Solomon,14:14.47,14:19.98,,14:08.80,14:26.79,14:14.47,14:02.62,,,,,,,,
Grégory Wyss,15:28.15,15:15.16,15:34.52,15:47.53,16:22.97,,,,,15:13.46,,15:19.14,,,
Lukas Vögtli,,,,,,,,,,,,15:44.23,15:43.00,15:18.32,
Christoph Graf,,,,,,14:58.48,,14:28.76,14:11.60,14:06.43,,,,,
Romano Josi,,,,,,,,17:12.69,,,,,,,
Massimo Maggioni,,,,,,,,17:47.77,,,,,,,
Mahder Hdinkiel,,,,,,,,,,,,,16:17.73,,
Sven Riederer,,,,,14:43.70,,,,,,,,,,
Patrick Barreto,,17:05.53,,18:05.90,,,,,,,,,,,
Yannic Wild,,,,,,,,,,,,,16:29.74,,
Christian Mauchle,,,,,,,16:03.76,,,,,,,,
Robert Stuber,,16:54.41,17:02.74,17:45.83,,,,,,,,,,,
Florian Ulrich,,,,,,,,,,,,16:39.78,,,
Nico Näf,,,,,,,,,,,,,,16:16.66,
Philipp Weber,,,,,16:24.42,,,,,15:41.16,,,,,
Marcel Schelbert,,,,,,,16:56.78,16:44.30,,,,,,,
Fabian Hertner,15:20.77,,15:15.10,,,,,,,,,,,,
Hendrik Engel,,,,,,16:42.09,,,15:30.98,,,,,,
Tarcis Ançay,14:43.24,15:01.78,,,,,,,,,,,,,
Marco Meeuwse,,,,,,,,,,16:37.50,16:16.20,,,,
Tobia Pezzati,,,,,,,,,15:56.13,,,,15:23.28,,
Ali Hakimi,,,14:51.69,,,,,,,,,,,,
Mitiku Megueressa,14:45.63,,,,,,,,,,,,,,
Simon Rohrbach,,,,15:36.19,15:17.39,15:22.08,,,,,,,,,
Simon Gremaud,,,,,,,,,18:19.29,,17:14.58,16:43.49,,,
Patrick Nispel,15:27.40,,14:58.70,14:42.29,,14:56.10,,,,,,15:58.73,,,
Michael Ziegler,,,,,,,,,,16:36.26,,,,,
Brice Repond,,,20:07.72,18:59.50,19:15.15,19:32.07,,,,,,,,,
Severin Sertore,,,19:46.86,,,,,,,,,,,,
Jean-Luc Hofer,,19:06.32,18:32.16,17:32.31,,,,,,,,,,,
Xaver Dörig,,,,,,,20:27.16,,,,,,,,
Miroslaw Halaba,,,,,,,25:40.05,,,,,,,,
Niggi Schaffner,,,,,,,,17:11.18,,,,,,,
Fabiano Vanza,,,,,,,,,18:47.33,,,,,,
Martin Masserey,,,,,,,,,,,,16:06.22,,,
Derek Buccassi,,,,,,,,,,,,,,14:47.90,
Melvin Marti,,,,,,,,,,,,,15:34.31,,
Adrian Stucki,15:39.44,,,,,,,,,,,,,,
Dominic Oesch,,,,,,,,,17:40.18,,15:56.46,,,,
Andreas Bucher,,,17:10.65,17:39.61,18:03.50,,,,,,,,,,
Pascal Giger,,,17:26.50,16:52.13,,,,,,,,,,,
Dejene Lidetu,14:43.57,,15:13.55,,,,,,,,,,,,
Matthias Castrischer,,,,,,,,16:08.46,15:16.32,14:44.32,14:56.85,14:45.04,,,
David Girardet,15:37.52,,,,,,,,,,,,,,
David Guignard,16:44.46,,,,,,,,,,,,,,
Emile Durussel,,,,,,,,,,,,,,15:37.52,
Dominic Müller,,,,,,,,,,,,,15:17.72,14:41.22,
Jérôme Schaffner,,14:08.66,14:38.88,14:06.42,14:40.82,,14:01.57,,,,,,,,
Ueli Werren,,,,,,,,,,,,16:31.38,,,
Marino Capelli,,,,,,,,,16:29.02,,,,,,
David Schneider,14:59.36,15:07.51,15:31.67,,15:07.60,,,,,,,,,,
Mathias Gasser,16:14.25,15:55.95,,,,,,,,,,,,,
Daniel Perret,,17:05.01,,,,,,,,,,,,,
Jorge Garcia,,,,,,,,15:58.90,,,,,,,
Marco Venzi,,,,,,16:21.96,,,,,,,,,
Joel Drittenbass,,,,,15:30.21,15:52.76,15:54.57,15:27.70,,,,,,,
Rocco Dolce,,,,,,,,,19:15.26,,,,,,
Mirko Ratano,,,,,,,,,,,,,,16:58.63,
Maarten Verhelst,,,,,,,,14:50.44,14:43.78,14:48.54,,,,,
Dominik Herren,,,,,,,,,,,,,15:06.34,,
Kim Tucker,,,,,,,,,,,18:37.53,,,,
Paul Hügli,15:36.52,,,,,15:31.72,,,,,,,,,
Abraham Habtemikael,,,,,,,,,,,,,,16:57.79,
Jonas Thürig,,,,,,,,16:08.76,16:14.19,,,,,,
Sebastian Riggenbach,,,,20:57.18,,,,,,,,,,,
Florian Suter,,,,,,,15:31.84,15:09.66,14:55.62,15:11.11,15:35.60,15:06.84,,,
Antoine Grandjean,,,,,,,,16:11.64,16:03.38,,,,,,
Loris Hutterli,,,,14:27.47,,,,,,,,,,,
Binyam Furui,,,,,,,,,,,15:03.59,15:02.67,,,
Cédric Piccand,16:59.74,,,,,,,,,,,,,,
Andreas Meyer,,,,,,,,,,14:56.00,,,,,
Dominik Sutter,15:59.96,16:07.29,,,,,,,,,,,,,
Simon Knellwolf,15:34.36,15:32.60,15:22.91,15:39.05,,,,,,,,,,,
Simon Schmid,,,,,17:15.36,,,,,,,,,,
Stéphane Demierre,18:32.50,,,17:42.37,17:44.24,,,,,,,,,,
Christian Vetsch,,,,,22:57.41,,,,25:27.93,,,,,,
Francois Michellod,,,,,,,17:14.16,,,,,,,,
Yan Volery,,,,,,,19:26.52,,18:02.86,,16:13.34,15:26.43,14:59.78,15:02.86,
Claudio Giugni,17:18.70,,,,,,,,,,,,,,
Italo Coen,,,,,21:33.08,,,,,,,,,,
Janik Niederhauser,,16:51.82,16:08.99,15:43.64,15:05.17,14:50.94,15:27.27,14:35.47,15:11.19,,,,,,
Sebastian Hägler,,15:46.46,17:12.54,,,,,,,,,,,,
Philipp Fleischmann,,,,,,,18:23.75,,,,,,,,
Christoph Kellerhals,,14:46.49,14:33.96,14:33.05,,15:00.80,,,,,,,,,
Christophe Jansen,,,,18:24.56,18:44.47,,,,,,,,,,
Stefan Müller,15:27.30,15:39.10,16:42.87,,,,,16:25.40,,,,,,,
Amedeo Caflisch,,,,,,,,,19:17.28,,,,,,
Daniel Renggli,15:08.05,15:25.19,,,,,,,,,,,,,
Markus Peter,15:34.71,15:46.82,15:42.45,15:12.90,16:04.99,,,,,,,,,,
Philippe Kitsos,,,,19:23.59,,,,,,,,,,,
Fabian Schärli,,,,,,,,,,20:05.91,,,,,
Philippe Dard,,15:28.42,,,,,,,,,,,,,
Jean-Jacques Perret,,,,,,,,,,,,,,16:20.12,
Alexandre Roch,15:49.16,14:33.91,15:14.22,,14:41.23,14:30.02,15:00.43,14:54.38,,,,14:51.21,,,
Severin Sager,,,,15:26.81,15:16.35,14:38.71,14:49.11,14:25.65,,,,,,,
Yannick Jeanmaire,,,,,,,,15:56.80,,,15:57.62,,16:22.73,,
Ivan Minini,,,,,17:31.50,,17:24.10,,,,,,,,
Felix Huber,18:22.56,,,,,,,,,,,,,,
Jari Piller,,,15:37.45,,15:20.48,,15:42.84,,,,,,,15:12.80,
Sandro Jöri,,,17:26.17,16:52.44,,16:54.63,16:28.07,,,,,,,,
Fernando Cortez,,,,,,,,,,,,17:07.48,,,
Lukas Oldani,,,,,,,,15:29.32,15:41.34,,15:40.21,,,,
Jérémy Schouwey,,,,,,,,,,,,,,15:20.24,
Florian Wagner,16:24.57,17:34.21,,,,,,,,,,,,,
