Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greta Sökeland,,,,,,5:32.76,,,,,,,,,
Nina Kok,,,,,,,,,,,,,,,5:38.18
Anna Hügli,,,,,,,,,,,,,,5:45.65,5:26.95
Valérie Lehmann,4:20.81,4:15.17,4:19.98,,4:18.00mM,4:13.83,4:15.58,4:23.54,,,,,,,
Olivia Kossak,5:59.56,,,,,,,,,,,,,,
Lea Gasser,,,,4:57.93,,,,4:40.99,,,,,,,
Andrea Meier,,,,,5:04.02,,,,,,,,,,
Line Voelin,,,,,5:42.65,7:00.46,,,,,,,,,
Olivia Kurtz,4:59.78,4:51.32,4:49.36,,,,,,,,,,,,
Angela Schönenberger,4:39.40,,4:40.81,4:47.72,,,,,,,,,,,
Nerina Gross,,,,,,4:46.18,4:49.43,4:49.49,4:46.61,,,,,,
Emma Lucchina,,,,,,5:24.83,5:15.91,,4:58.45,4:55.82,,,4:47.88,4:36.03,
Agnés Sturner,,,,,,,,,,4:56.91,4:47.34,4:45.44,,,
Charlotte Kress,,,,,,5:40.79,,5:28.46,,,,,,,
Noémie Rapp,,,,,,,,,,,,,,,5:11.20
Lena Haas,,,,,,,,,5:20.32,5:14.31,5:01.42,5:01.10,4:58.20,,
Yvette Meili,,,5:28.13,,,5:12.30,5:17.38,5:13.48,,5:06.39,,,,,
Anna Fischer,,,,,,,,5:47.85,,,,,,,
Melanie Schnyder,,,5:44.38,5:30.30,5:36.57,,,,,,,,,,
Nadine Strasser,5:12.71,,,,,,,,,,,,,,
Barblin Remund,,,,,4:41.08,,4:40.67,4:39.89,4:40.34,,4:50.61,,4:37.76,,
Tamara Winkler,4:30.56,4:20.48,4:20.60,4:26.51,4:17.24mM,4:29.14,,,,4:40.05,,,,,
Jana Vonäsch,,,,,,,,,,,,5:01.88,5:02.23,5:04.17,
Ruth Helfenstein,,,8:24.56,,,,9:07.97,9:15.15,,,11:25.27,,11:03.56,,
Romy Moulin,,,,,,,,,,,5:02.88,4:56.63,4:53.49,4:52.23,5:05.61
Lisa de Bruyn,,,,,,,,,,,,,,5:00.42,4:55.06
Luciana Hutter,,,,,,,,,,,,,,5:04.41,5:14.90
Julie Grob,,,,,,,,,,,,,,,5:02.94
Evelyne Coelho,,5:58.90,6:05.08,,,,,,,,,,,,
Nadja Mutter,5:47.82,,,,,,,,,,,,,,
Malin Engeli,,4:44.73,,,,,,,,,,,,,
Sonja Schneider,,5:27.31,,,4:41.43,4:38.97,4:51.43,,,,,,,,
Katharina Kress,,,,,,,,,,,6:04.93,,,,
Janine Küttel,,,,,,,,,,,,6:15.02,,6:01.93,6:15.02
Sol Kisslig,,,,,,,,,,4:57.61,,,,,
Emma Yerly,,,,,,,,,,,,6:02.02,,,
Moana Schönenberger,,,,,,,,,,,,,,,6:06.75
Alma Capt,,,,,,,,,,5:49.14,,,,,
Charline Kapeller,,,,,,,,,,6:25.18,,,,,
Nicole Egger,,,,,,,,,,,4:43.30,4:29.56,4:31.30,4:22.72,4:23.86
Anna Jurt,,,,,,,,,,,,,,5:00.53,4:46.97
Camille Hess,,,,,,,,,,,,,,,6:16.51
Jéromine Schmidt,,,,5:13.53,5:07.82,4:58.70,4:55.06,4:55.59,5:23.96,5:11.32,,,,,
Lea Laib,,,,,,4:44.96,4:31.72,,,,,,4:43.20,,
Ingrid Eckardt,,,,,,,,,,4:44.15,4:36.57,4:33.88,4:43.39,4:46.28,4:52.49
Sybille Gisler,5:33.34,,,,,,,,,,,,,,
Liliana Batista,,5:23.66,5:16.81,6:06.63,,,,,,,,,,,
Michelle Scherrer,,,,,,,,,,,,,,,4:58.13
Alexia Roux,,,,,,,,,4:42.59,4:47.42,4:35.65,,,,
Eliane Koch,,,,,,,,,,,,6:08.98,6:11.52,,
Célia Déglon,,,,,,,,,,,,,,,5:19.84
Nicole Kubli,4:50.88,,4:59.79,,,,,,,,,,,,
Lisa Kurmann,,,,,,,4:18.01,4:17.42,4:18.79,4:18.89,4:25.47,4:24.28,4:18.53,,
Samira Achoumi,,,,,,,,,,,4:54.72,4:46.58,4:42.80,,
Fabienne Egli,,,,,,,,,,,,,,,5:31.92
Marjorie Forthomme,,,,,,,,,,,,,,5:08.91,5:11.52
Anaïs Bass,,,,,,,,,,,,,,,5:40.66
Sulamith Schilling,,,5:03.53,,,,,,,5:01.16,,,,4:58.38,
Fabienne Meier,,,,,,,,,,,,5:18.72,,,
Sophie Katharina Kummer,,,,,,,,,,5:25.46,5:19.80,,5:02.57,4:48.99,
Johanna Kress,,,,,,,5:10.11,5:07.59,5:08.69,4:58.08,,,,,
Emanuelle Curchod,,,,,5:29.20,,5:47.04,,,,,,,,
Sofia Chételat,,,,,,,,,,,,,5:37.56,5:05.88,4:57.37
Tamara Flückiger,,,,,5:37.79,,,,,,,,,,
Darya Hauri,,,5:12.32,,5:29.94,,,,,,,,,,
Nora Ranzoni,,,,,,,,,5:10.39,5:19.55,,,,,
Antje Pfüller,,,,,,,,,,4:49.86,4:30.01,4:25.68,4:23.89,4:22.71,4:22.95
Eva Albrecht,,,,,,,,,,5:53.34,6:01.13,5:49.48,5:43.73,,6:00.95
Cora Oestreicher,,,,,,,,,,,,5:28.02,5:38.26,,
Livia Müller,,,,,,,4:51.17,4:37.89,,4:50.87,,,,,
Daniela Zeman,4:49.14,,,,,,,,,,,,,,
Céline Aebi,,,,,,5:17.30,5:07.98,4:57.60,5:02.64,4:55.47,4:52.94,4:52.15,4:46.28,4:42.12,4:38.42
Flavia Glanzmann,,,,,,4:58.11,,,,,,,,,
Dominique Ammann,,,,,4:58.90,5:06.54,5:12.19,,,,,,,,
Emma Jacot,,,,,,,,,,,,,,,5:02.23
Giorgia Ferretti,,,,,6:18.85,,,,,,,,,,
Sabrina Buess,,,,,,,6:11.70,,,,,,,,
Anina Meier,,5:19.67,5:17.40,,,,,,,,,,,,
Alexandra Bachmann,,,,5:06.37,,,,,,,,,,,
Shawney Lang,,,,,,,,,,,,5:24.02,5:12.27,5:11.78,5:14.43
Gabi Lang,4:49.60,,,,,,,,,,,,,,
Ariane Krummenacher,,,,,,,,,,,,,,,4:48.41
Fanny Combe,,,5:28.24,,,,,,,,,,,,
Joëlle Pauli,,,,,,,,,,4:59.05,4:56.03,,,4:49.81,4:29.52
Simona Götz,,5:23.64,5:30.06,,,,,,,,,,,,
Michelle Handschin,,,,,,,,,,,,,5:22.36,,
Solène Barbey,,,,,,,,,,,,,5:31.30,,
Meret Camp,,,,,,,,,,,,,,,6:08.93
Nicole Otter,4:51.63,4:54.76,,,,,,,,,,,,,
Gaëlle Overney,,5:18.68,,,,,,,,,,,,,
Martina Bontognali,,5:26.44,5:32.83,5:20.82,,,,,,,,,,,
Lieke Wehrung,,,,,,,,,,,,,,,4:32.30
Tanja Gautschi,5:05.14,,,,,,,,,,,,,,
Antonella Lardi,,,,,,,4:59.77,4:49.06,4:47.08,4:54.93,4:55.93,,,,
Giulia Minikus,,,,,,,,,,,,,5:22.75,5:11.02,
Léanie Schweickhardt,,,,,4:59.51,,,,,,,,,,
Loane Monge,,,,,5:40.87,5:08.71,5:08.17,5:39.04,5:45.95,5:19.70,,,,,
Louise Yerly,,,,,,,,,,5:40.33,,,,,
Valérie Reggel,,,,,,5:36.52,,,,,,,,,
Rea Iseli,,,,,,,4:45.59,4:47.73,4:43.95,4:39.17,4:33.46,4:29.50,4:28.96,4:28.43,4:27.06
Stephanie Geisser,,5:41.71,,,,,,,,,,,,,
Michelle Arpagaus,,,,,,,,,,,,5:18.68,,,
Kim Rudolf,,,,,,,,,,5:34.28,,,,,
Rachel Berman,,,,,,,,5:20.99,,,,,,,
Lea Eggenschwiler,,,,,,,,4:59.15,,,,,,,
Santina Malacarne,,,4:38.59,,,,,,,,,,,,
Jennifer Gomez,,,,5:42.54,,5:34.61,,,,,,,,,
Elena Pezzati,,,,,,,,5:21.79,,,,,,,
Nienke Nachtegaal,,,,,,,,,,,,,,5:27.60,5:04.91
Andrea Büchel-Dürrenberger,4:52.23,4:51.63,,,,,,,,,,,,,
Meryl-Georgina Meyer,,,,,,,,,,,,,,5:14.07,
Karin Petraglio,,4:30.15,,4:27.88mM,,4:31.97,4:46.40,,,,4:52.52,,,,
Leonie Jornod,,,,,,,,,,,,,,,5:32.22
Nathalie Camplani,,,,,5:26.20,,,,,,,,,,
Alice Maddalena,,,,,,,,,,,,5:39.40,,,
Flavia Stutz,,,,,,,4:53.35,4:48.22,4:45.34,4:45.32,,,4:51.61,4:54.65,
Sara Zarro,,,5:40.50,5:43.80,,,,,,,,,,,
Julie-Pearl Meyer,,,,,,,,,5:40.74,,5:29.55,,5:11.80,5:13.41,5:12.92
Romane Wolhauser,,,,,,,,,,,,,5:01.57,4:48.03,4:49.39
Evelyn Hausheer,,6:56.73,,,,,,,,,,,,,
Alessia Da Silva Salvador,,,,,,6:06.52,,,,,,,,,
Laura Baehny,,,,,,,,5:47.33,,,,,,,
Miriam Schneuwly,,,,,,5:06.40,4:47.73,4:48.86,,,,,,,
Noémie Guntern,,,,,,,,,,5:08.52,5:07.02,5:16.76,5:21.44,,
Irina Strebel,,,,,6:15.26,,,6:34.32,,,,,,,
Saveria Dürr,,,,,,,,,,,,6:03.41,,,
Nicola Spirig,,,,,,,,,,,,,4:43.31,,
Simei Wipf,,,,,,,,,,,,,,5:06.64,4:49.90
Jeannette Bragagnolo,,,,5:03.60,4:57.93,4:54.18,4:48.79,4:46.56,4:54.97,4:53.89,5:01.74,4:58.18,5:00.38,5:17.46,5:08.52
Maude Gobet,,,,,,,,5:53.16,,,,,,,
