Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Benedikt Willauer,,,,,,,,4:20.54,,,,,,,
Florian Renevey,,,,,4:40.46,,,,,,,,,,
Colin Maneff,,,,,,,,,,,,4:29.13,4:22.54,4:01.74,4:06.70
Jonas Schelbert,4:20.99,,,,,,,,,,,,,,
Elias Meier,,,,,5:19.92,,,,,,,,,,
Ramon Flammer,,,,,,,,,,,,,4:48.55,,
Joan Paupe,,,,,,,,5:38.51,,,,,,,
Marco Glauser,,,,,,,,,4:32.84,4:34.86,4:35.76,,4:41.73,4:40.96,
Rolf Koch,,,,,,,,,,5:09.03,,4:46.26,,,
Christoph Menzi,4:01.75,3:58.70,4:06.38,,,,,,,,,,,,
Philipp Huser,4:55.09,5:16.25,,,,,,,,,,,,,
Omar Corti,,,,,,,,,,,,,,,4:47.97
Alessandro Cordasco,,,,,4:35.17,,,,,,,,,,
Matthias Faes,,,,,,,4:43.22,,,,,,,,
David Zysset,3:53.90,3:55.26,,,,,4:06.50,4:09.21,,,,,,,
Andreas Ritz,,,,,,,,,,,4:31.47,,,,
Gabriel Waldburger,,,,,,,,,,,,,4:52.97,,
Timothée Antier,,,,,,,,,,,,,,,3:58.51
Raphael Auf der Mauer,4:12.76,,,,,,,,,,,,,,
Oliver Meister,4:30.32,4:40.87,4:36.98,,4:37.68,,,,,,,,,,
Mathieu Carroz,,,,,,,,,,5:02.18,,,,,
Ruedi Wild,,,4:24.98,,,,,,,,,,,,
Koni Wespi,4:57.89,4:49.68,4:50.17,,,,,,,,,,,,
Dario Kaufmann,,,,,,,,,5:41.84,,,,,,
Christian Keller,,4:48.32,,,,,,,,,,,,,
Riccardo Dal Pont,,,,,,,,,4:58.77,,5:10.08,,,,
Simon Praz,,,4:31.84,4:26.97,,,,,,,,,,,
Maxime Barbe,4:31.23,4:18.35,4:19.59,,,,,,,,,,,,
Kyan Rytzell,,,,,,,,5:03.95,,,,,,,
Yoann Vogel,,,,,,,,,,,,,5:02.65,,
Thierry Dutoit,4:16.91,,,,,,,,,,,,,,
David Florian Kummer,,,,,,,,,,,,,4:42.48,4:36.93,
Herbert Mattle,7:02.29,,6:54.76,7:05.88,,7:46.81,,,,,,,,,
Silvan Lückl,,,,,,,,,,,,,5:35.53,,
Andreas Kropf,3:56.34,,,4:03.87,4:03.12,,,,,,,,,,
Alexandre Bovier,,,,,,,,,4:19.53,,,,,,
Fabio Wolf,,,,,,,,,,,,,,,4:59.35
Michael Jakob,,,,,,,,,5:12.81,5:08.73,,,,,
Jonas Leu,,,,,,,,,4:35.00,4:28.58,,,,,
David Fischer,,,,,,,,,,,,4:36.70,4:26.94,4:13.82,
Pascal Neuenschwander,,,,,,,,4:57.06,,,,,,,
Christian Wyss,,,,,,,,,,,,,,4:27.25,4:18.63
Jan Ruffieux,,4:26.78,,,,,,,,,,,,,
Enea Ratti,,,,,,,,,,4:29.10,4:20.80,4:14.46,4:07.05,4:07.89,4:02.26
Marco Barandun,,,,,,,5:27.59,,,,,,,,
Adrien Louis,,,,,,4:50.85,,,,,,,,,
Hèdi Zouaimia,,,,,,,,,,,5:19.66,,,,
Stein Peeters,,,,,,,,,,4:47.16,,,,,
Guido Biondo,4:50.17,4:24.78,4:22.37,4:17.29,,,,,,,,,,,
Patrick Rhyner,,,,,4:10.82,4:07.51,,,,,,,,,
Jonas Bührer,4:20.65,,4:24.74,,,4:17.51,,,,,,,,,
Lukas Geissbühler,4:11.98,4:06.36,3:58.60,4:01.13,3:57.44,3:56.47,,3:58.46,4:04.23,,,,,,
Simon Wüthrich,,4:31.69,,,,,,,,,,,,,
Stéphane Demierre,4:36.45,4:43.30,4:22.83,,,,,,,,,,,,
Sandro De Stefani,,,,,,,,,,,,,,5:05.64,4:58.59
Adrian Krebs,4:51.74,,,,,,,,,,,,,,
Severin Sager,4:34.66,4:19.99,4:07.54,4:02.10,4:00.95,3:51.87,3:51.52,,,,,,,,
Geoffrey Beuchat,,,,,,,5:03.94,,,,,,,,
Maurice Ottiger,,,,,,,,4:34.30,,,,,,,
Alex Balestra,,,,,,,,,,,,4:38.93,,,
Lukas Good,,4:49.85,,4:57.68,,,,,,,,,,,
Tizian Hegyaljai,,5:17.51,5:09.48,5:41.97,5:45.51,,,,,,,,,,
Ramon Wächter,3:57.95,,,,,,,,,,,,,,
