Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Eric Rüttimann,,,,,,32:45.07,,,,,31:34.41,,,,30:48.75
Nikita Kostyuchenko,,,,,,,,,,,,,,,33:44.56
Adriano Engelhardt,,,,,,,,,,,,,,,30:21.54
Fabian Kuert,,,,,,,32:18.21,31:09.18,,31:16.29,30:40.27,30:41.59,30:16.16,,
Jean-Pierre Witschard,,39:39.70,,,,,,,,,,,,,
Thomas Feuz,,,,,,33:09.72,32:46.88,,,,,,,,
Sullivan Brunet,,,,,,,,,,,,29:44.25,29:39.65,,29:37.24
Nico Näf,,,,,,,,,,,,,,,33:51.79
Christoph Graf,,,,,,,,,,30:48.91,,,,,
Simon Thomet,35:18.16,37:00.32,,,,,,,,,,,,,
Hansjörg Brücker,32:02.72,,31:55.96,32:33.16,,,33:44.85,35:49.40,,34:11.56,34:43.07,,,,
Guillaume Cachelin,,,,,,,,,,,,,,,30:03.99
Denis Bigler,,,33:48.60,33:52.96,34:00.47,33:32.60,33:58.62,35:50.90,,,34:48.26,,,,
Toto Notari,,,,38:27.23,38:29.70,,37:24.87,,,,,,36:47.00,,36:18.82
Claude Nicolet,34:43.71,34:18.18,,,,,,,,,,,,,
Roger Ponzio,,,35:38.66,,,38:15.81,,,,,,,,,
Jean-Claude Joye,,37:45.80,,,,,,,,,,,,,
Jean-Pierre Bifrare,34:03.14,34:34.66,,,,,,,,,,,,,
Dave Derigo,,,,,,,,,,,,,35:29.50,,
Florian Sturny,34:01.46,32:50.85,33:12.54,33:23.63,,,,34:25.04,,,,,,,
Alain Testorelli,,36:31.95,36:02.93,,,,,,,,,,,,
Dario Werder,,,,,,,,,,,,,,,34:41.97
Alex Wolff,40:47.16,,,,,,,,,,,,,,
Walter Eichelberger,43:24.53,,,,,,,,,,,,,,
Georg Schellenberg,,,45:17.63,44:30.54,,,,,,,,,,,
Bruno Albuquerque,,,,,,,,29:40.20,,,29:25.74,,,,
Lukas Oldani,,,,,,,,31:46.84,,,32:37.56,,,,
Janis Gächter,,,,,,,,,,,,,,,30:33.76
Bertrand Gauch,,,,34:20.15,,,,,,,,,,,
Pino Pilotto,49:17.03,52:36.24,,,58:22.85,,,57:07.30,,,,,,,
Nils Makos,,,,33:35.00,,,,,,,,,,,
Thomas Mészáros,,,,32:38.88,33:28.53,32:36.69,32:24.51,,,,,,,,
Matthias Kieliger,,,,,,,,,,,,41:57.62,,,
Adrian Jenny,31:37.36,31:52.86,31:41.44,32:31.00,,,,,,,32:20.68,,,,
Paulo Vieira Gonçalves,,,,,,,,,,,,,,,33:58.91
Alain Mc Laren,,,,,,,,32:14.03,,,,,,,
Fabian Downs,,,,,,,,31:09.08,,31:57.06,,,,,
Jonathan Stampanoni,,33:29.13,33:13.07,,,,,,,,,,,,
Laurent Guillet,34:27.95,34:40.86,,,,,,,,,,,,,
Marco Delorenzi,,,,,,,,,,,,,,,35:37.05
Marco Venzi,,,,,,34:27.50,,,,,,,,,
Njaal Aase,,,,,,,,,,,,,36:39.54,,34:31.90
Yan Orlandi,,31:55.35,,,,,,,,,,,,,
Daniel Thür,,,,33:16.08,,,,,,,,,,,
Patrick Nispel,,,,,,,,,,,,32:38.59,,,
Rolf Rüfenacht,,,,,29:53.81,29:37.39,,,,,,,,,
Rubén Oliver,32:13.99,,,,,,31:36.77,31:57.44,,32:10.35,32:11.14,,,,
Emmanuel Lattion,,,,32:34.54,,,,,,,,,,,
Patrick Grütter,30:44.97,,,,,,,,,,,,,,
David Simonet,,,,,,,,,,,37:38.03,,,,
Jean-Marc Cattori,33:28.94,,,,,,,,,,,,,,
Igor Ostini,34:33.31,34:46.07,33:46.03,33:54.55,,,,,,,,,,,
Markus Gerber,,,,,,,,,,36:12.94,,,,,
Jorge Garcia,,,,,,,,,,,,,,,33:11.94
Jacques Krähenbühl,31:18.69,,,,,,,,,,,,,,
Adrian Marti,,,,34:00.50,,32:02.64,32:25.65,,,,,,,,
Jacques Piccand,,44:45.49,,,,,,,,,,,,,
Daniele Giugni,,,,,35:05.87,,,,,,,,,,
Adrian Lehmann,,,,,,30:46.02,30:23.55,30:03.49,,30:24.58,29:37.86,30:03.73,,,
Christoph Hofmann,,32:00.83,,,,,,,,,,,,,
Julien Lyon,,,,,32:25.66,,,,,,29:42.76,,,,
Ivan Mariano,33:21.18,,,,,,,,,,,,,,
Marcel Wider,,45:28.27,,,,,,,,,,,,,
Urs Hans,,,,41:49.05,,,,,,,,,,,
Michael Morand,,,,,,,,,,,,,34:31.91,,
Candide Pralong,,,,,,,,,,,,,,,29:52.68
Reto Hoppler,,39:16.29,,,,,,,,,,,,,
Alexandre Vouilloz,,,,,,33:18.41,35:54.03,,,,,,,,
Thomas Bättig,,,,43:56.19,,,,,,,,,,,
Michele Giaimo,36:41.97,38:59.54,,,,,,,,,,,,,
René Fürst,,39:35.63,,,,,,,,,,,,,
Christophe Golliard,,,34:40.59,,,,,,,,,,,,
Christian Vetsch,43:01.19,,,,47:15.64,,,,,,,,,,
Lukas Ebneter,,,,,32:28.79,,,,,,,,,,
Mickael Marti,,,,,,,,,,,,,,,34:35.29
Christopher Gmür,,,,,,,,,,,32:14.81,,,,
Damien Colas,,,,,,,,,,,,,34:39.48,,
Adrian Müller,,,,,,,,,,,,33:00.44,,,
Jérôme Schaffner,,,,,,,30:38.85,,,,,,,,
Pierre Fournier,,,,,,32:28.82,,,,,,,33:31.53,,
Cédric Bouele,,37:39.44,38:51.20,43:18.65,37:06.41,,,,,,37:56.50,48:00.98,40:16.21,,
Sandro Jöri,,35:38.35,,,,,,,,,,,,,
Joël Francey,,39:45.16,,,,,,,,,,,,,
Xaver Dörig,,37:08.47,,39:29.90,,,,,,,,,,,
Robert Stuber,36:22.96,35:55.57,,,,,,,,,,,,,
Viktor Röthlin,28:23.20,,,,,,,,,,,,,,
Daniel Brodard,31:20.88,,,,,,,,,,,,,,
Gilles Barras,,36:58.28,,,,,,,,,,,,,
Pascal Birbaum,,,,,,,33:42.08,,,,,,,,
Oqubit Berhane,,,,,,,29:32.74,29:52.22,,,,,,,
Nesero Kadi,,,,,,,,29:54.47,,,,,,,
Michele Paonne,,,,,,,,34:44.38,,,,,,,
Raphael von Vivis,,,45:56.47,45:02.83,,,,,,,,,,,
Pierre Romanens,35:15.19,35:01.94,,,,,,,,,,,,,
Miguel Da Silva,,,,,,,,,,33:47.30,,,,,
Alan Velati,,,,,,,,,,35:25.49,,,,,
Harry Huber,,36:23.63,36:29.30,36:39.18,37:12.03,37:18.05,37:59.67,,,,41:17.45,41:36.80,,,
Alessandro Castelli,,,,,,,38:18.97,,,,,,,,
Stéphane Heiniger,,,,31:37.62,,,,34:19.59,,,,,,,
Christian Belz,28:02.46,,,,28:54.01,,,,,,,,,,
Julien Nuoffer,,44:37.47,,,,,,,,,,,,,
Albert Anderegg,35:56.89,35:20.94,,35:28.38,,,,,,40:22.60,,,,,
Neil Burton,,,,,,,,30:33.10,,31:12.95,31:40.25,,30:15.70,,31:04.23
Davide Gambonini,,,36:50.06,,35:35.25,,,,,,,,,,
Ueli Küttel,,,,,,,,39:02.30,,38:31.62,38:24.10,37:30.14,42:07.31,,
Niggi Schaffner,,,,,,,,,,33:29.49,,,,,
Julien Wanders,,,,,,,,,,30:10.35,29:10.17,28:06.17,28:07.15,,
Adrian Karrer,,,31:05.47,31:29.53,,,,,,,,,,,
Daniel Fäh,37:04.06,38:50.24,,,,,,,,,,,,,
