Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Daniela Aeschbacher,,,,,,,,36:26.11,,,37:04.88,,,,37:13.41
Verena Cerna,,,,,,,,,39:49.10,,,,,,
Marianne Kämpf,,,,,,,,,,39:26.77,,,,,
Birtukan Bouele,,,,,,,,,,,59:30.28,,,,
Brigitte Schoch,38:14.41,,38:06.14,,,,,,,,,,,,
Karine Joye,,39:53.36,,,,,,,,,,,,,
Melanie Schneider,,,,,,,,,,,,,,,38:57.63
Lea Vetsch,,,37:35.69,37:02.03,,36:20.49,,,,,,,,,
Martina Tresch,,,,,,,,,,,34:27.32,33:38.30,34:07.04,,
Patricia Morceli,,,,34:08.11,,,33:20.51,,,35:26.67,,,,,
Corinne Velthuijs,,38:16.40,,,,,,,,,,,,,
Olivia Keiser,,,,,,,,,,,,,,,37:06.04
Livia Morgenthaler,,,,,,,,,33:58.86,,,,,,
Narmada Heer,43:58.00mit M,,,47:51.91,,,,,,,,,,,
Chiara Scherrer,,,,,,,,,,,,,,,33:02.63
Andrea Meier,,,,,,,,,,,,,,,35:12.24
Mirja Jenni-Moser,32:37.66,33:44.34,,,,,34:00.67,,,,,,,,
Ruth Helfenstein,,,66:15.82,64:50.71,,66:14.64,,,,,,,,,
Géraldine Fournier,,,,,,,,,,,,,42:10.67,,
Monika Oberlin,,,,,,,36:16.49,,,,,,,,
Maja Neuenschwander,,,,,,,,34:50.92,,,,,,,
Eryn Oberli,,,,,,,,,,,,59:54.54,,,
Martina Strähl,,,,,,,34:11.84,,,,33:31.56,,,,
Rachel Berchtold,,,,,,,,,37:32.12,,,,,,
Salome Marmet,,,,,,,,,,40:15.62,,,,,
Michèle Gantner,,,,,,,,,,,,35:25.31,,,
Alina Sönning,,,,,,,,,,,,,,,36:43.35
Josianne Lauber,,36:22.21,,,,,,,,,,,,,
Aude Salord,,,,,,,,,,,35:20.34,33:47.41,,,35:54.51
Flavia Stutz,,,,,,,,,,,,35:27.52,,,
Samira Schnüriger,,,,,,,,,,,,,,,36:16.63
Deborah Büttel,,35:49.45,35:00.56,,,,36:10.92,,,,,,,,
Rosalba Rossi,,,,40:41.36,,,,,,,,,,,
Natacha Monnet,40:01.10,,,,,,,,,,,,,,
Conny Berchtold,,,,,,,,36:37.12,,,36:25.47,,,,
Myriam Keiser,,,,,,,,,,,,37:51.93,,,37:50.25
Tamara Kamm,,,,,,,,39:45.28,,,,,,,
Helena Erni,,,45:23.33,,,,,,,,,,,,
Nicola Spirig,,,,35:32.32,,,,,34:01.32,,,,,,
Christine Wyrsch,,,,37:45.17,,,,,,,,,,,
Chantal Matzinger,,,,,,,,,43:04.50,,,,,,
Melina Frei,,,,,,37:46.16,,,,,,,,,35:57.36
Jasmin Widmer,,,,,,,,,34:15.87,,,,,,
Léanie Schweickhardt,,,,,,,,,,35:11.13,,,,,
Helen Bekele,,,,,,,,,,,,,,,32:12.49
Evelyne Dietschi,,,,,,,,,,,36:36.22,35:29.24,,,
Lisa Berger,,,,,,,,,,,,,,,37:01.78
Lisa Gubler,,,,,,,,,40:11.37,38:16.99,,,,,
Simone Troxler,,,,,,,,,,,,,,,34:52.77
Michelle Schaub,,,,,,,,,,,,,,,35:51.40
Fabiola Rueda Oppliger,,36:48.35,,,,,,,,,,,,,
Nicole Egger,,,,,,,,,,,37:38.46,35:40.05,,33:44.57,33:21.46
Sophie Andrey,38:57.34,38:22.39,,,,,,,,,,,,,
Ruth Gavin,,38:24.29,,,,,,,,,,,,,
Susanne Rüegger,,,,38:55.15,,36:10.79,,35:32.22,,36:30.33,,,,,
Fabienne Schlumpf,,,,,,,,,,,,,,,32:16.37
Céline Hauert,,,,,,35:20.38,,,,,,,,,
