Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Maéva Camilotto,,11:10.24,11:06.99,,,,,,,,,,,,
Chiara Scrucca,,,,,,,,,,,,,,12:08.64,
Pascale Füglistaler,,,,,,11:00.63,11:07.49,11:23.34,10:46.24,10:54.80,,11:09.36,,,
Corinne Kreis,,,,,,,,,15:02.43,,,,,,
Aurélie Wälti,,,,,,,,,,,,12:22.03,,,
Gina Gaugler,10:44.26,10:20.84,10:39.91,10:21.67,10:07.68,10:44.18,11:36.61,,,,,,,,
Lauranne Dubosson,,11:34.26,12:04.37,,,,,,,,,,,,
Sabine Kuonen,,11:08.98mM,,10:59.75,,,,,,,,,,,
Nicole Zauta,,14:10.98,,,,,,,,,,,,,
Olivia Arnold,,,12:34.16,,,,,,,,,,,,
Cecilia Conforto Galli,,,,,,,,,11:20.79,11:13.35,,,,,
Rahel Kessler,,,,,,,,,,10:55.02,,,,,
Fiona Steffen,,,,,,,,,,,10:51.79,,,,
Molly Renfer,,,,,,,,,,,,,,9:39.08,
Astrid Leutert,,,,,,,,9:34.60,,9:57.27,,,,,
Andrea Roggo,,,,,,,,,,,,10:55.72,10:49.54,10:40.52,
Silya Lüscher,,,,,,,,,,11:35.86,,11:35.11,11:27.32,,
Anna Salud,,,,,,,,,,,,,,13:09.19,14:00.86
Janine Hubschmid,10:53.99,,11:06.36,,,,,,,,,,,,
Nathalie Bratschi,13:35.27,,,,,,,,,,,,,,
Tamara Flückiger,,,,12:14.41,,,,,,,,,,,
Alexandra Bill,,,,,11:09.12,,,,,,,,,,
Céline Aebi,,,,,,,,,10:48.18,10:37.31,10:33.90,,10:15.06,10:09.52,10:01.43
Sulamith Schilling,,11:24.38,11:08.14,,10:39.38,10:30.81,10:30.25,,10:31.08,10:31.22,,,10:43.46,10:38.09,
Nathalie Camplani,,12:51.53,,,,,,,,,,,,,
Elisa Bron,,,,,,,,,,12:34.80,,,,,
Ramona Weber,12:14.80,,,,,,,,,,,,,,
Caroline Ulrich,,,,,,,,,,,,,10:30.93,10:41.54,
Caroline Steiner,13:13.78,,,,,,,10:56.47,10:38.72,10:41.30,11:07.79,11:12.63,,,
Nicole Muff,11:07.60,,,,,,,,,,,,,,
Marion Aebi,,,,,,,,10:54.84,,,,,,,
Céline Monnard,,,,,,,,,,,,10:46.62,10:34.88,,
Georgette Kämpfen,,11:11.00mM,11:05.46mM,11:08.17,11:29.32,,,,,,,,,,
Letizia Martinelli,,,,,,,,,,,,,,10:30.30,10:26.26
Joëlle Mayoraz,,,,,,,,,,,,11:27.70,,,
Anna Gatti,,,,,,,,,,,,,,13:56.53,
Nicole Aellig,,,,,,11:08.83,,,,,,,,,
Danielle Merlo,,,,,,,,,,,,,,11:25.17,
Nicole Zwahlen,,,,,,11:47.69,,,,,,,,,
Sina Sprecher,,,,,,,,,,10:49.46,,,,,
Marlena Zanatta,,,,,,,,,,,,12:04.30,,,
Stefanie Rusch,,,,,,,11:02.07,,,,10:57.35,10:56.87,11:12.51,,
Tamara Winkler,9:42.88,9:45.47,9:26.03mM,9:52.76mM,9:17.60,9:38.23,,,,,,,,,
Melanie Bühlmann,,,,,,,,14:33.34,,,,,,,
